Area,diameter,perimeter,circularity,homogeneity,compactness,homogeneity,3d bounding box dim rate,compactness2,clbp mean,euler point,x-y projection compactness,min value inside,DC constant,energy,skew inside,kurtosis inside,moment 2,MIP,moment 5,moment 6,moment 7,x-y plane bb rate,T
19.6875,11.25,19.83778485,0.628657475,133.81875,1.758797096,0.266666667,0.266666667,1.558848934,7.166666667,1,0.611780126,30.64725304,1.001038313,6.372476578,-0.768162966,2.329767704,256.9490662,228.8626862,58806.1875,15110427,49332.30078,27.73290253,NON-CANCEROUS
17.4375,9,15.74404567,0.8840186,116.26875,1.307651361,0.916666667,0.722222222,1.756572262,8.416666667,1,0.529561597,11.22651672,1.007483602,2.512034893,-0.445453644,1.812143683,142.018219,215.8180542,30650.14063,4353546.5,14030.65039,11.14102077,NON-CANCEROUS
21.375,19.5,20.35536989,0.648273084,497.98125,1.54080836,0.538461538,0.403846154,4.868742791,24.4,1,0.29687775,11.15812016,1.007615566,2.391897678,-0.38622719,2.026980877,183.5331573,209.6287231,38475.39844,7062579,15401.30273,11.08972359,NON-CANCEROUS
20.25,16.5,16.16056595,0.97436519,258.13125,1.591297529,0.636363636,0.636363636,3.017214465,16.08333333,1,0.300789765,11.48300362,1.007199168,1.975203753,-0.959818125,3.049169779,315.3292542,216.5722351,68291.48438,21534772,19645.92773,11.10682201,NON-CANCEROUS
11.25,18.75,12.55481063,0.89689593,286.65,1.289484376,0.72,0.610859729,6.179173708,23.16666667,1,0.224995558,13.32970905,1.007298112,1.757698894,-0.204798147,1.683737397,329.5732117,199.7297668,65825.26563,21694610,5879.822266,11.12392139,NON-CANCEROUS
11.8125,13.5,15.3275254,0.631840699,66.54375,1.433978323,0.888888889,0.385185185,3.928134021,10.91666667,1,0.341272451,11.50043964,1.009046078,1.500273943,0.677231431,2.726929188,108.2701721,322.4120483,34906.60156,3779793.5,3722.472412,11.44764614,NON-CANCEROUS
15.1875,6.75,13.73290788,1.011978164,45.3375,1.573394997,0.888888889,0.385185185,1.391727196,5.366666667,1,0.927100785,11.55323315,0.774221778,2.186896324,-0.484479874,1.900893211,137.9627686,315.4866638,43525.41406,6005359,10754.58301,11.50043964,NON-CANCEROUS
16.875,16.5,16.16056595,0.811970991,139.66875,1.768525438,0.409090909,0.409090909,3.064952303,11.71666667,1,0.372778058,11.55323315,1.007956743,2.320201397,-0.057532601,1.727247834,157.8352661,184.7732849,29164.04492,4603347.5,12195.76367,11.53563499,NON-CANCEROUS
18.5625,9,23.78859686,0.412200655,104.56875,1.470423412,0.916666667,0.577777778,2.696469957,13.01666667,5,0.369919413,11.5708313,0.827994943,2.396946669,-0.232093334,2.077682495,333.7647095,264.7228394,88354.72656,29489978,11043.09961,11.53563499,NON-CANCEROUS
18,12,16.16056595,0.866102391,75.31875,1.912994404,0.5,0.325,2.004606877,7.3,1,0.615988415,11.44764614,1.008135319,2.202184916,0.131428644,2.04970026,340.8025208,306.7904968,104555.7344,35633736,13178.19434,11.44764614,NON-CANCEROUS
13.5,12.75,14.14942815,0.847355897,106.03125,1.466520426,0.705882353,0.611764706,2.585906212,10.1,1,0.42572431,11.5708313,1.008076072,2.160538435,-0.288808882,1.747589946,370.6609192,255.6408691,94755.25781,35122432,6883.682129,11.50043964,NON-CANCEROUS
14.0625,21,15.3275254,0.752191308,211.33125,1.782382266,0.321428571,0.321428571,3.730394881,14.21666667,1,0.36392272,11.76440716,1.007811904,2.185301542,-0.105838448,2.299331665,176.1362305,189.821579,33433.44922,5888944,6895.729004,11.43004799,NON-CANCEROUS
21.375,12.75,20.59936182,0.633006917,108.225,1.8489298,0.588235294,0.407843137,2.170657118,8.916666667,1,0.532929156,12.25714779,1.007634401,2.200534105,-0.31511429,1.781771779,149.029007,202.8578033,30233.18555,4506189,16225.46777,11.43004799,NON-CANCEROUS
39.9375,15,40.60967501,0.304320852,280.8,1.552954967,0.8,0.52,6.434315262,26,5,0.303939315,11.90519047,1.007671356,2.57404685,0.116638191,1.839932919,182.454834,271.1813965,49479.23438,9032160,61370.45313,11.34205914,NON-CANCEROUS
25.875,7.5,26.46024686,0.464410937,58.5,1.589956625,0.9,0.346666667,1.506868162,7.483333333,3,0.528231843,11.43004799,1.007594109,2.354274273,-0.529428482,2.164288759,305.5491943,334.2624207,102133.8281,31207978,24714.89648,11.43004799,NON-CANCEROUS
50.625,15,29.89347383,0.71190514,217.18125,1.830584623,0.85,0.26,2.337788488,12.8,1,0.36990624,11.88759232,1.007352233,2.195294857,-0.642977595,2.10422492,112.6958237,279.0733948,31452.50195,3546008,106374.7734,11.46524429,NON-CANCEROUS
30.375,24.75,21.18841044,0.850216241,379.51875,1.686421709,0.606060606,0.472727273,3.703428127,17.58333333,1,0.385968381,11.71161366,1.007581949,2.5829494,-0.177244678,1.804818511,135.0286102,277.1923523,37429.32422,5055575,39804.66016,11.43004799,NON-CANCEROUS
14.625,7.5,16.16056595,0.703708192,50.45625,1.475475695,0.4,0.4,1.651339651,5.733333333,1,0.820213949,11.95798397,1.00828588,2.313432455,0.293652326,1.700216413,341.4337463,288.6283264,98547.57813,33647608,8769.753906,11.43004799,NON-CANCEROUS
64.125,27,30.89904273,0.844009223,672.01875,2.060256567,0.805555556,0.337037037,3.166764088,22.65,2,0.297465192,11.5180378,1.007204652,2.355012894,-0.902689159,2.772121668,190.3553925,299.7864075,57065.95313,10864982,188567.1563,11.43004799,NON-CANCEROUS
19.6875,19.5,21.18841044,0.551066082,190.85625,1.957151797,0.461538462,0.333333333,4.998756252,17.78333333,1,0.263502232,11.46524429,1.008272409,2.629346609,0.229204595,1.680595875,181.0597076,169.179657,30631.45703,5546257,15905.01953,11.44764614,NON-CANCEROUS
23.625,10.5,19.59379292,0.773294023,122.85,1.67842398,0.785714286,0.495238095,1.800903842,8.233333333,1,0.680744715,11.43004799,1.007789493,2.567886829,-0.325211465,1.692868948,100.7791901,268.2942505,27039.63672,2726074.75,22952.98242,11.43004799,NON-CANCEROUS
36,18,25.87119824,0.675895068,519.1875,1.404962497,0.916666667,0.577777778,3.75840417,19.65,2,0.342087357,12.49696064,1.005791903,2.785432577,-0.315737307,2.630604744,326.7245178,226.9439087,74144.82813,24225462,55346.51563,12.49696064,NON-CANCEROUS
16.3125,9.75,17.58265512,0.663073198,97.25625,1.352051427,0.923076923,0.533333333,3.286032541,10.85,2,0.49767841,12.84136581,1.006317377,2.963626385,-0.099967472,1.78777945,165.6384735,228.6215363,37868.01172,6272835,11850.20996,12.43955994,NON-CANCEROUS
11.25,18.75,13.73290788,0.749613455,111.15,1.730806046,0.4,0.4,4.060205671,12.53333333,1,0.312872612,13.28143787,1.006761193,2.088791132,0.613589108,2.487191677,349.2503052,161.4731293,56394.54688,19695864,5784.450195,12.47782707,NON-CANCEROUS
14.0625,20.25,13.73290788,0.937016818,217.18125,1.38099723,0.814814815,0.70617284,5.917937221,20.13333333,2,0.249542632,12.65002918,1.006553411,2.29835248,-0.441841066,1.940951824,369.8712463,293.2778625,108474.875,40122208,9428.460938,12.43955994,NON-CANCEROUS
33.75,22.5,30.72651438,0.449217895,351.73125,1.958227135,0.333333333,0.333333333,5.57993666,17.53333333,0,0.515648609,12.78396511,1.00640595,2.543945551,-0.002030835,1.82794416,192.760788,192.0093994,37013.0625,7135928,50238.47656,12.38215923,NON-CANCEROUS
36.5625,20.25,35.6532941,0.361448498,326.86875,1.827651979,0.666666667,0.385185185,5.009768151,21.51666667,0,0.249688663,12.43955994,0.97258532,2.740849972,-0.149226263,1.712962747,353.0189819,205.7535858,72634.88281,25642756,59283.60547,12.43955994,NON-CANCEROUS
48.375,21.75,38.77106556,0.40440393,435.09375,2.057273345,0.620689655,0.35862069,5.833121549,28.75,-4,0.381615033,12.47782707,1.006139278,2.670918703,-0.688870728,2.114963531,361.7853394,244.6768188,88520.95313,32026728,83233.17188,12.43955994,NON-CANCEROUS
